Pasivos por impuestos diferidos,"Subvenciones, donaciones y legados recibidos",Libertad de amortización,Otros,Total
Al 1 de enero de 2024,(451) (209) (3.451) (4.111),,,
Cargo / (abono) a resultados,—,28 1.136 1.164,,
Impuesto cargado a patrimonio neto,113,— —,,113
Al 31 de diciembre de 2024,(338) (181) (2.315) (2.834),,,
Cargo / (abono) a resultados,—,25 1.311,,1.336 (6.123)
Impuesto cargado a patrimonio neto,(6.123),— —,,
Al 31 de diciembre de 2025,(6.461) (156) (1.004) (7.621),,,
