,31 de diciembre de 2023,,31 de diciembre de 2022,
Información financiera resumida,"Cells IA Technologies, S.L.","Enervit Nutrition, S.L.","Alentia Biotech, S.L.","Enervit Nutrition, S.L."
Activos netos iniciales de los negocios conjuntos,— 4.386,,— 3.988,
Beneficio/(Pérdida) del ejercicio de los negocios conjuntos,(128) (184) 30 —,,— —,
Alta,,,—,— —
Aportación de capital y prima de emisión,600 —,,—,
Baja,—,(4.202),—,398
Activos netos finales de los negocios conjuntos,502,—,—,4.386
Participación en negocio conjunto,567 —,,—,2.193
Importe en libros,567,—,—,2.193
