Name,Country of incorporation,% interest,Nature of relationship,Measurement method
"Enervit Nutrition, S.L. (1)",Spain,50% 26% 25.5%,a),Company sold
"Cells IA Technologies, S.L. (2)",Spain,,b),Equity
"Terafront Farmatech, S.L. (3)",Spain,,c),Equity
