,,,,
Name of director,Name of the,,Type of,Amount
,,Relationship,,
or manager,related party,,transaction,(thousand euros)
,,,,
MR IVÁN JORGE LÓPEZ-BELMONTE ENCINA,"LABORATORIOS FARMACÉUTICOS ROVI, S.A. - REPRESENTAÇAO EM PORTUGAL",Commercial,Operating lease agreements,25
