"At 31 December, 2017",Less than 1 year,Between 1 & 2 years,Between 2 & 5 years,Over 5 years
Bank borrowing (Note 18),"13,328","17,784",-,-
Debt with government entities (Note 18),"2,986","4,091","4,006","2,794"
Trade suppliers (Note 17),"42,129",-,-,-
Other payables (Note 17),"10,813",-,-,-
,"69,256","21,875","4,006","2,794"
