,Miles de euros,,
,Deudas con entidades de crédito,,Pasivos financieros
,2022 2021,,2022 2021
,,,
Pasivos financieros a coste amortizado (Nota 18),37.679,,
No corrientes,37.679,,
,,,
Pasivos financieros a coste amortizado (Nota 18),6.428,,
Pas. Finan. a VR cambios en la cuenta de PyG (Nota 18),—,,
Corrientes,,,
,,,
TOTAL,44.107,,
