,"Subven., Acciones Resultado donaciones Capital Prima de propias en ejercicios Resultado Ajustes por y legados escriturado emisión Reservas patrimonio anteriores del ejercicio cambios de recibidos (Nota 14) (Nota 14) (Nota 15) (Nota 15) (Nota 15) (Nota 16) valor (Nota 17) TOTAL"
"SALDO, FINAL AÑO 2022",3.241 87.636 7.032 (27.561) 116.922 39.116 12 1.694 228.092
Total ingresos y gastos reconocidos - Distribución del resultado 2022 - Distribución de dividendos - Operaciones con acciones propias (netas) - Otros movimientos,— — — — — 12.071 (32) (327) 11.712 — — — — (29.933) 29.933 — — — — — — — — (69.049) — — (69.049) — — — (80.115) (1.146) — — — (81.261) — — — — (172) — — — (172)
"SALDO, FINAL AÑO 2023",3.241 87.636 7.032 (107.676) 85.671 12.071 (20) 1.367 89.322
Total ingresos y gastos reconocidos - Distribución del resultado 2023 - Distribución de dividendos - Operaciones con acciones propias (netas) - Reducción de capital,— — — — — 75.546 (8) (338) 75.200 — — — — (44.380) 44.380 — — — — — — — — (56.451) — — (56.451) — — — (50.332) 2.545 — — — (47.787) (167) — — 152.463 (152.296) — — — —
"SALDO, FINAL AÑO 2024",3.074 87.636 7.032 (5.545) (108.460) 75.546 (28) 1.029 60.284
