,2025,,,,2024,,
,Hombres,Mujeres Total Hombres,,,,Mujeres,Total
Consejeros ejecutivos Directivos Investigación Comerciales,3 10 81 98,—,3,,3 — 9 8 140 210 95 104,,3 17 350 199
,,7 17 165 246 102 200,,,,,
Administración,47 86 133,,,,,,
,239 360 599,,,,,,
