No corrientes,2024 2023
Préstamos de entidades de crédito,70.659 31.250 9.844 7.325 10.216 13.667
Deudas con organismos oficiales,
Pasivos financieros por arrendamiento,
,90.719 52.242
Corrientes,
Préstamos de entidades de crédito,16.280 6.495 1.562 1.565 5.849 5.125
Deudas con organismos oficiales,
Pasivos financieros por arrendamiento,
,23.691 13.185
,114.410 65.427
