H1 2024,H1 2023
"329,336","380,845"
"71,362","19,171"
"(205,275)","(184,514)"
"(64,871)","(59,096)"
"(61,394)","(61,466)"
562,"1,960"
"(13,446)","(11,865)"
204,172
(22),(13)
"56,456","85,194"
100,766
(644),(366)
67,72
163,166
(314),638
"56,142","85,832"
"(11,804)","(19,188)"
"44,338","66,644"
,
"44,345","66,646"
7,2
