Deuda con organismos oficiales:,,
,,
Año,2024 2023,
2024 2025 2026 2027 2028,—,1.565
,1.562 1.587,1.465
,,1.535
,1.400 1.341 1.499 1.070 1.155 607,
2029 2030 en adelante,,
,4.203 1.307,
,11.406 8.890,
No corrientes,9.844 7.325,
