,Manufacturing,Marketing Other,,Aggregated total,Inter- segment transactions,Consolidated total
Total segment revenues Profit/(loss) Corporate income tax Profit/(loss) before tax,"284,935 208,624",,—,"493,559 (112,714)",,"380,845"
,,,,0,,0
,"76,670 (11,578) (10) 65,082 1,562 17,315 1,568 (3) 18,880 308",,,,,"66,644 19,188"
,"93,985 (10,010) (13) 83,962 1,870",,,,,"85,832"
Finance costs – net Amortisation/depreciation,"(621) (17) 7,348 4,528",,— —,"(638) 11,876",— (11),(638)
,,,,,,"11,865"
EBITDA (*),"100,712 (5,499) (13) 95,200 1,859",,,,,"97,059"
,,,,,,
Amortisation/depreciation,"(7,348) (4,528)",,—,"(11,876)",11,"(11,865)"
EBIT (**),"93,364 (10,027) (13) 83,324 1,870",,,,,"85,194"
