,,PREVIOUS PERIOD,,,,
,,Significant share- holders,Directors and senior manage- ment,"Persons, companies or entities belonging to the group",Other related parties,Total
1) Customers and trade debtors,6341,,,6,,6
2) Loans and credits granted,6342,,,46,,46
3) Other amounts receivable,6346,,44,,,44
TOTAL BALANCES RECEIVABLE (1+2+3),6347,,44,52,,96
4) Suppliers and trade creditors,6352,,,,350,350
5) Loans and credits received,6353,,,,,
6) Other payment obligations,6355,,1.640,80,,1.720
OTHER BALANCES PAYABLE (4+5+6),6358,,1.640,80,350,2.070
