,Fabricación,Comercialización,Otros,Total agregado
Total activos,774.459 461.080,,1.040 1.236.579,
De los cuales:,— 26.428 51.212 9.770,,,
Inversiones en empresas del Grupo,,,— —,26.428 60.982
Aumentos de act. no corrientes no financieros,,,,
,,,,
Total pasivos,(257.385) (398.469) (648),,,(656.502)
