,31 de diciembre de 2025,,31 de diciembre de 2024,
Información financiera resumida,"Cells IA Technologies , S.L.","Terafront Farmatech, S.L.","Cells IA Technologies , S.L.","Terafront Farmatech, S.L."
Activos netos iniciales de los negocios conjuntos,49 74.777,,502 —,
Beneficio/(Pérdida) del ejercicio de los negocios conjuntos,(136) 375 — —,,(453) (90),
Alta,,,—,74.867 —
Cambio método de consolidación,87 —,,—,
Activos netos finales de los negocios conjuntos,—,75.152,49,74.777
Participación en negocio conjunto,—,19.164,449,19.068
Importe en libros,— 19.164,,449,19.068
