2023,2022 2021
Hombres Mujeres Total,Hombres Mujeres Total Hombres Mujeres Total
0 0 0,0 0 0 0 0 0
4 2 6,2 2 4 2 1 3
7 11 18,2 3 5 1 0 1
2 2 4,3 3 6 1 1 2
4 3 7,7 7 14 5 4 9
2 1 3,3 0 3 1 3 4
