,Fabricación,Comercialización,Otros,TOTAL
Total ingresos segmento,619.230 414.153 (215.685) —,,— —,1.033.383 (215.685)
Ingresos inter-segmentos,,,,
Ingresos de clientes externos,403.545 414.153,,—,817.698
