,,,
Q1 2024,Q1 2023,,
151.2,201.6,,
85.6,125.3,,
25.9,66.5,,
19.3,60.7,,
15.0,47.5,,
,,,
9.0,4.9,,
6.6,19.7,,
,,,
56.6 %,,,
17.1 %,,,
12.8 %,,,
9.9 %,,,
5.9 %,,,
4.3 %,,,
,,,
"As of March 31, 2024","As of Dec 31, 2023",,
67.2,38.6,28.6,74 %
