,Retrospectiva,,,Hitos y año objetivo,
,2025,2024 (Año base ),Variación 2024-2025,2035,Meta % anual/año base
Emisiones de GEI de alcance 137,,,,,
Emisiones de GEI brutas de Alcance 1 (tCOeq) 2,"9.011,86 9.525,38 -5,39 %",,,"3.524,39","5,73 %"
Emisiones de GEI de alcance 2,,,,,
"Emisiones de GEI brutas de Alcance 2 9.733,69 9.225,13 5,51 % - basadas en la ubicación (tCOeq) 2",,,,,-
"Emisiones de GEI brutas de alcance 2 36,79 38,60 -4,69 % 14,28 basadas en el mercado (tCOeq) 2",,,,,"5,73 %"
