,Share capital (Note 15),Share premium (Note 15),Legal reserve (Note 16),Treasury shares (Note 16),Retained earnings and voluntary reserve (Note 16),Profit for the year (Note 16),Accumulated other comprehensiv e income (Note 16),Non-controlling interests (Note 16,TOTAL EQUITY
Balance at 31 December 2022,"3,241","87,636",673,"(27,561)","256,362","199,669",(8),"1,367","521,379"
Total comprehensive profit for the year,— — — — —,— — — — —,—,—,—,"170,335",(13) — — — —,(36) — — — —,"170,286 —"
Transfer of 2022 profit Dividends 2022 (Note 16.c),,,— —,—,"130,620","(130,620)",,,
,,,,—,—,"(69,049)",,,"(69,049)"
Acquisition of treasury shares (Note 16.d),,,— —,"(133,900) 53,785","— (1,146)",— —,,,"(133,900)"
Reissue of treasury shares (Note 16.d),,,,,,,,,"52,639"
Non-controllling interests,—,—,—,—,—,—,—,"2,776","2,776"
Other movements (Note 16.c),—,—,—,—,(637),—,—,—,(637)
Balance at 31 December 2023,"3,241","87,636",673,"(107,676)","385,199","170,335",(21),"4,107","543,494"
Total comprehensive profit for the year,—,—,—,—,—,"136,881",(2),(5),"136,874"
Transfer of 2023 profit Dividends 2023 (Note 16.c),— — — —,— — — —,— — — —,"— — (89,708) 39,376","113,884 — — 2,545","(113,884) (56,451) — —",— — — —,— — — —,"— (56,451) (89,708) 41,921"
Acquisition of treasury shares (Note 16.d),,,,,,,,,
Reissue of treasury shares (Note 16.d),,,,,,,,,
Capital reduction (Note 15),(167),—,—,"152,463","(152,296)",—,—,—,—
Non-controlling interests,—,—,—,—,—,—,—,"5,410","5,410"
Balance at 31 December 2023,"3,074","87,636",673,"(5,545)","349,332","136,881",(23),"9,512","581,540"
