,,CURRENT,PREVIOUS
,,PERIOD,PERIOD
,,30/06/2024,30/06/2023
(+) Cash in hand and at bank,0550,11.134,68.357
(+) Other financial assets,0552,,
(-) Less: bank overdrafts repayable on demand,0553,,
TOTAL CASH AND CASH EQUIVALENTS AT END OF PERIOD,0600,11.134,68.357
