,Thousand euros,,
,Bank borrowings,,Financial liabilities
,2024 2023,,2024 2023
,,,
Financial liabilities at amortised cost (Note 18),"70,659",,
Non-current,"70,659",,
Financial liabilities at amortised cost (Note 18),,,
,"16,280",,
Current,,,
,,,
TOTAL,"86,939",,
