,Note,31 December,
,,2020,2019
"ASSETS Non-current assets Property, plant and equipment Intangible assets Investment in a joint venture Deferred income tax assets",6 7 10 19,"155,395 41,413 1,812 11,105","131,608 45,079 1,843 14,660"
Equity securities,9 & 11,71,71
Financial receivables Current assets Inventories Trade and other receivables Current income tax assets Prepaid expenses Cash and cash equivalents,9 & 13 12 9 & 13 27 9 & 14,65,65
,,"209,861","193,326"
,,"227,199 76,401 7,803 13 53,162","158,811 81,541 10,104 3 67,426"
,,"364,578","317,885"
,,,
Total assets,,"574,439","511,211"
