,Returns,,Contribution to,,Other,Total
,,,public health,,,
,,,system,,,
At 1 January 2017,665,2.093,,,120,2.878
Additions,699,2.690,,,119,3.508
Applications,(665),(2.093),,,(120),(2.878)
At 1 December 2017,699,2.690,,,119,3.508
