,2025,2024,% Variación
"Hombres 29,48 % 6,57 % 348,78 %",,,
"Mujeres 35,47 % 6,56 % 440,75 %",,,
Otro — %,,— %,— %
No notificado — %,,— %,— %
Total,"32,66 %","6,57 %","397,51 %"
