,31 de diciembre 2025,,31 de diciembre 2024
Estado del resultado global resumido,"Terafront Farmatech, S.L.",,"Terafront Farmatech, S.L."
,,,
Importe neto de la cifra de negocio Coste de ventas Gastos de personal Otros gastos de explotación Amortizaciones,— — (144),,— — — (90) —
,(226),,
,—,,
Resultado de explotación,(370),,(90)
Resultado financiero,825,,—
Impuesto sobre beneficios,(80),,—
Resultado del periodo,375,,(90)
,,,
Otro resultado global,—,,—
,,,
TOTAL RESULTADO GLOBAL,375,,(90)
