,,,,
Name of significant,Name of company,Nature of the,Type of,Amount
shareholder,within the group,relationship,transaction,(thousand euros)
,,,,
"NORBEL INVERSIONES, S.L.","Laboratorios Farmacéuticos Rovi, S.A.",Corporate,Dividends and other profits distributed,"6,196"
