,"Subven., Acciones Resultado donaciones Capital Prima de propias en ejercicios Resultado Ajustes por y legados escriturado emisión Reservas patrimonio anteriores del ejercicio cambios de recibidos (Nota 14) (Nota 14) (Nota 15) (Nota 15) (Nota 15) (Nota 16) valor (Nota 17) TOTAL"
"SALDO, FINAL AÑO 2023",3.241 87.636 7.032 (107.676) 85.671 12.071 (20) 1.367 89.322
Total ingresos y gastos reconocidos - Distribución del resultado 2023 - Distribución de dividendos - Operaciones con acciones propias (netas) - Reducción de capital,— — — — — 75.546 (8) (338) 75.200 — — — — (44.380) 44.380 — — — — — — — — (56.451) — — (56.451) — — — (50.332) 2.545 — — — (47.787) (167) — — 152.463 (152.296) — — — —
"SALDO, FINAL AÑO 2024",3.074 87.636 7.032 (5.545) (108.460) 75.546 (28) 1.029 60.284
Total ingresos y gastos reconocidos - Distribución del resultado 2024 - Distribución de dividendos - Operaciones con acciones propias (netas),— — — — — 46.079 (7) 18.371 64.443 — — — — 27.716 (27.716) — — — — — — — — (47.830) — — (47.830) — — — 371 (380) — — — (9)
"SALDO, FINAL AÑO 2025",3.074 87.636 7.032 (5.174) (81.124) 46.079 (35) 19.400 76.888
