,"153,003"
Current financial liabilities at amortised cost,
– Bank borrowings (a) – Debt with government entities (b),"16,280"
,"18,578"
– Trade payables,
– Trade payables with group and associated companies (Note 31.i),
– Sundry creditors,
– Employees,
,"250,276"
,"403,279"
