Six-month period ended 30 June 2023,,Net carrying amount 01.01.2023,Additions,Payments,Net carrying amount 30.06.2023
,,,,,
Bank borrowings (a) Debt with government entities (b) Finance lease liabilities (c) Financial derivatives,,"44,107",—,"(3,214) 40,893",
,,"10,175 551 (1,128) 9,598 17,856 453 (2,300) 16,009",,,
,,28,—,(28),—
,,"72,166 1,004 (6,670) 66,500",,,
