Material climate risk,Potential financial impact,Classification,Time horizon
Physical risks,,,
Extreme temperature events,Equipment failure,Low,"Short, medium and long term"
Water stress,Interruption of production activity due to a potential lack of supply,Low,Short term
,,Moderate,Medium term
Transition risks,,,
Cost increase in CO emissions 2,Operating cost increase due to price increase in fossil fuels,Insignificant,"Short, medium and long term"
