,Manufacturing Marketing Other,,TOTAL
Total segment revenues,"247,723 210,483",— —,"458,206 (128,870)"
Inter-segment revenues,"(128,870) —",,
Revenues from external customers (Note 20),"118,853 210,483",—,"329,336"
