,2019,,2018,,
AVERAGE REMUNERATION OF MANAGEMENT COMMITTEE,Men Women,AVERAGE,Men Women,AVERAGE,Var.
Fixed remuneration Variable remuneration Remuneration in kind,"179,399 € 113,333 € 61,444 € 28,333 € 10,944 € 6,977 €","146,366 € 44,889 € 8,960 €","163,430 € 93,419 € 61,960 € 36,763 € 8,752 € 5,280 €","128,425 € 49,362 € 7,016 €",14% -9% 28%
"TOTAL AVERAGE 251,787 € 148,644 €",,"200,215 €","234,142 € 135,462 €","184,802 €",8%
,,,,,
