,,
Q1 2024,Q1 2023,Growth
54.3,59.3,(4.9)
34.6,34.9,(0.3)
19.7,24.4,(4.7)
15.4,17.3,(1.9)
4.3,7.1,(2.8)
2.0,2.2,(0.2)
56.3,61.4,(5.1)
