2017,Women Men Total,,%,2016,,Women Men Total,,%
Permanent Temporary,528 436 964 136 91 227,,81% 19%,,Permanent Temporary,501 432 933 135 82 217,,81% 19%
Total,664 527 1.191,,,,Total,636 514 1.150,,
% of total 56% 44%,,,,,% of total 55% 45%,,,
