DISTRIBUTION OF EMPLOYEES BY AGE / GENDER,Men Women,TOTAL
18-30 years 78 106 31-40 years 156 216 41-50 years 195 213 51-60 years 109 114 >60 years 20 17,,184 372 408 223 37
TOTAL 558 666,,"1,224"
