,,,,
,Q1 2025,Q1 2024,Growth,% Growth
,0.3,0.1,0.2,
,0.3,0.2,0.1,
,0.1,0.05,0.02,
,0.7,0.3,0.5,
,0.7,0.1,0.6,
,0.5,0.3,0.1,
,2.6,1.0,1.6,
,0.1,0.5,(0.4),
,1.0,1.2,(0.3),
,4.6,6.3,(1.7),
,5.7,8.0,(2.3),
Total Capex,8.3,9.0,(0.7),
