,2018,2017
Interest income,16,93
Total finance income,16,93
,,
Interest costs,(712),(909)
Other finance costs,,(104)
Total finance costs,(712),"(1,013)"
,,
Proceeds on disposal of financial instruments,10,-
Change in fair value of financial instruments,(33),-
Impairment and gain/(loss) on measurement of financial instruments,(23),-
,,
Exchange rate differences,(83),-
,(83),-
,,
Net finance income/(cost),(802),(920)
