"Nombre o denominación social del consejero o representante, vinculado",Nombre o denominación social del accionista significativo vinculado,Denominación social de la sociedad del grupo del accionista significativo,Descripción relación/cargo
DON JUAN LÓPEZ- BELMONTE ENCINA,"NORBEL INVERSIONES, S.L.","NORBEL INVERSIONES, S.L.",Consejero y Socio.
DON IVÁN JORGE LÓPEZ- BELMONTE ENCINA,"NORBEL INVERSIONES, S.L.","NORBEL INVERSIONES, S.L.",Consejero y Socio.
DON JAVIER LÓPEZ- BELMONTE ENCINA,"NORBEL INVERSIONES, S.L.","NORBEL INVERSIONES, S.L.",Consejero y Socio.
