,,,2020,,,,2019,,,,,,,,,,
DISTRIBUTION DISMISSALS BY PROFESSIONAL GROUP*/GENDER,,Men,,Women,TOTAL,Men,,,Women,,,TOTAL,,,Total variation,,
,1,,1,5,6,,1,,,,6,,,7,,-14%,
,2,,42,31,73,,26,,,2,0,,,46,,59%,
,3,,85,113,198,,79,,,9,2,,1,71,,16%,
,4,,138,111,249,,130,,,10,5,,2,35,,6%,
,5,,229,215,444,,225,,,21,8,,4,43,,0%,
,6,,84,120,204,,68,,,10,3,,1,71,,19%,
,7,,62,126,188,,62,,,13,5,,1,97,,-5%,
,8,,3,1,4,,3,,,,1,,,4,,0%,
,,,12,5,17,,12,,,,5,,,17,,0%,
,Subsidiaries,,16,20,36,,8,,,1,1,,,19,,89%,
,TOTAL,,672,747,"1,419",,614,,,69,6,,"1,3",10,,8%,
