,Fabricación,Comercialización,Otros,TOTAL
Total ingresos segmento,471.788 383.975 (207.096) 10,,— —,855.763 (207.086)
Ingresos inter-segmentos,,,,
Ingresos de clientes externos,264.692 383.985,,—,648.677
