,Terrenos y construc -ciones,"Instalaciones técnicas, maquinaria y utillaje",Otras instalaciones y mobiliario,Elementos informáticos y transporte y otro inmovilizado,Derechos de uso,Inmovili- zado en curso,Total
Saldo al 01.01.21,,,,,,,
Coste,35.745 229.888 3.449 16.885 24.375 14.675 325.017 (18.593) (126.339) (2.760) (14.714) (7.216) — (169.622),,,,,,
Amortización acumulada,,,,,,,
Valor neto 01.01.21,17.152 103.549 689 2.171 17.159 14.675 155.395,,,,,,
Altas,1.498 18.902 162 1.654 4.077 18.002 44.295,,,,,,
Bajas,— (33) — (78) — — (111) — — — 78 — — 78 7 4.616 13 (14) — (4.622) — (292) (12.562) (87) (1.046) (3.895) — (17.882) 37.250 253.373 3.624 18.447 28.452 28.055 369.201 (18.885) (138.901) (2.847) (15.682) (11.111) — (187.426),,,,,,
Bajas de amortización,,,,,,,
Traspasos,,,,,,,
Dotación a la amortización,,,,,,,
Saldo al 31.12.21,,,,,,,
Coste,,,,,,,
Amortización acumulada,,,,,,,
Valor neto 31.12.21,18.365 114.472 777 2.765 17.341 28.055 181.775,,,,,,
Altas,8.061 29.322 252 965 4.355 12.119 55.074 (192) (2.206) — — — — (2.398) 3 477 — — — — 480 (317) (13.551) (96) (1.181) (4.245) — (19.390) 45.119 280.489 3.876 19.412 32.807 40.174 421.877 (19.199) (151.975) (2.943) (16.863) (15.356) — (206.336),,,,,,
Bajas,,,,,,,
Bajas de amortización,,,,,,,
Dotación a la amortización,,,,,,,
Saldo al 31.12.22,,,,,,,
Coste,,,,,,,
Amortización acumulada,,,,,,,
Valor neto 31.12.22,25.920 128.514 933 2.549 17.451 40.174 215.541,,,,,,
