,2019,,2018,,
DISTRIBUTION EMPLOYEES BY TYPE OF CONTRACT / GENDER,Men Women,TOTAL,Men Women,TOTAL,Var.
Permant full-time Permanent part-time Permanent short-time,496 526 - 8 4 35,"1,022 8 39",462 532 - 4 - -,994 4 -,-100% 100% -
Total permanent,500 569,"1,069",462 536,998,-100%
Temporary for specific project or service Temporary due to work backlog Temporary substitution contract Training / apprenticeship Temporary part-time Temporary full-time - empl. with disabilities,2 1 61 48 6 8 31 51 14 19 - -,3 109 14 82 33 -,2 3 47 55 4 6 27 49 15 17 1 -,5 102 10 76 32 1,-40% 7% 40% 8% 3% -
Total temporary,114 127,241,96 130,226,7%
TOTAL,614 696,"1,310",558 666,"1,224",7%
