Thousands of euros,
Amounts received from and paid for financial liability instruments: - Other debt - Interest payments Dividend payments and remuneration of other equity instruments: - Dividends (Note 15 b & d) - Transactions with treasury shares (Note 15 c) Cash flows from financing activities,2017 2016
,"9,449 (9,329) (253) (231)"
,"9,196 (9,560)"
,"(9,025) (6,853) 479 (541)"
,"(8,546) (7,394)"
,"650 (16,954)"
