,,
Q1 2024,Q1 2023,Growth
15.5,24.5,(9.0)
(9.2),(4.8),(4.3)
(18.6),(3.2),(15.5)
(12.2),16.5,(28.8)
25.3,124.9,(99.6)
13.1,141.5,(128.4)
