,,,,Thousands of euros,,
,,,2018,,2017,
Listed securities:,,,,,,
- Investment funds and equity securities,,,4,,3,
,,,,,,
Non-listed securities:,,,,,,
- Equity securities – Euro zone,,,59,,59,
,,,63,,62,
