WORK ACCIDENT FREQUENCY RATE (*) BY GENDER,,,2020,,,2019,,,
,,,,,,,,,Annual
,,,,,,,,,variation
,,,,,,,,,
,Men,,,2.143,,,7.678,,-72%
,Women,,,6.769,,,11.540,,-41%
,TOTAL,,,4.574,,,9.652,,-53%
