Appointments and Remuneration Committee,,
Name,Post,Category
,,
MR JOSÉ FERNANDO DE ALMANSA MORENO- BARREDA,CHAIRPERSON,Independent
MR MARCOS PEÑA PINTO,MEMBER,Independent
MS FÁTIMA BÁÑEZ GARCÍA,MEMBER,Independent
