,,At 31 December,
,Note,2020,2019
EQUITY,,"330,686","269,329"
"Equity Capital Share premium Reserves (Treasury shares) Retained earnings Profit for the year Adjustments for change in value Available-for-sale financial assets Grants, donations and legacies received",14 14 15 15 15 16 17,"328,283 3,364 87,636 7,032 (20,185) 179,299 71,137 (3) (3) 2,406","266,582 3,364 87,636 7,032 (10,341) 153,338 25,553 (3) (3) 2,750"
NON-CURRENT LIABILITIES,,"64,135","62,803"
Non-current debt Bank borrowings Other financial liabilities Non-current debt with Group & associated companies Deferred tax liabilities Non-current accruals,7 & 18 7 & 18 7 & 18 21 19,"53,647 44,825 8,822 - 4,700 5,788","54,329 45,000 9,329 333 2,348 5,793"
CURRENT LIABILITIES,,"160,706","83,344"
"Current provisions Current debt Bank borrowings Derivates Other financial liabilities Current debt with Group & associated companies Trade and other payables Trade payables Trade payables, Group & associated companies Sundry creditors Employees (outstanding remuneration) Other debts with the public authorities Current accruals",20 7 & 18 7 & 18 7 & 18 7 & 18 7 & 18 7 & 18 7 & 18 7 & 18 23 19,"15,741 2,867 175 925 1,767 184 140,834 30,920 104,228 371 4,038 1,277 1,080","9,827 9,138 7,116 129 1,893 156 63,457 36,533 20,141 578 4,886 1,319 766"
TOTAL EQUITY AND LIABILITIES,,"555,527","415,476"
