,% Participación directa,Valor contable de la participación,Capital,Reservas,Resultado del periodo,Total Fondos propios
"Pan Química Farmacéutica, S.A.U.",100 % 100 % 100 %,1.771 293,601 1.342 385 30 367 (8) 25 51 (1) 7.816 142.660 161.981 6 (37) (110) 10 998 432 25 1.915 774 5 27 114 21 279 (108) 10 2.789 (9) 30 8.196 (519) 18 236 (75),,,2.328 389 75
"Gineladius, S.L.U.",,,,,,
Bertex Pharma GmbH (Nota 29.b),,1.236 7.370 7 340 1.575 1.510 487 1.427 8.590,,,,
"Rovi Pharma Industrial Services, S.A.U.",100 %,,,,,312.457
"Rovi Biotech, Limited",100 % 100 % 100 % 100 % 100 % 51 % 100 % 100 %,,,,,(141) 1.440 2.714 146 192 2.790 7.707 179
"Rovi Biotech, S.r.l.",,,,,,
"Rovi, GmbH",,,,,,
Rovi S.A.S.,,,,,,
Rovi Biotech sp.z.o.o.,,,,,,
"Glicopepton Biotech, S.L.",,,,,,
"Rovi Escúzar, S.L.U.",,,,,,
"Rovi Biotech, GmbH",,270,,,,
,,24.876,,,,
