2023,2022 2021
Hombres Mujeres Total,Hombres Mujeres Total Hombres Mujeres Total
26.601 € 28.337 € 27.469 €,24.470 € 26.246 € 25.460 € 23.834 € 25.446 € 24.755 €
33.705 € 36.215 € 34.960 €,31.345 € 34.217 € 32.874 € 30.369 € 33.647 € 32.053 €
41.374 € 42.851 € 42.113 €,39.157 € 40.567 € 39.895 € 42.676 € 39.149 € 40.919 €
61.723 € 46.530 € 54.127 €,59.134 € 44.054 € 52.181 € 51.848 € 41.689 € 46.712 €
66.789 € 37.817 € 52.303 €,66.357 € 35.610 € 46.791 € 71.023 € 33.135 € 49.650 €
