,,,,Miles de euros
,,,,2022
,,,,
Retribución de consejeros ejecutivos,,,,2.068
Resultado de la Sociedad dominante,,,,39.116
Retribución de consejeros ejecutivos / Resultado atribuido a la sociedad dominante,,,,"5,29 %"
