Nombre o denominación social del titular indirecto,Nombre o denominación social del titular directo,% derechos de voto atribuidos a las acciones,% derechos de voto a través de instrumentos financieros,% total de derechos de voto
"WELLINGTON MANAGEMENT GROUP, LLP",DIVERSAS I.I.C.,"4,92","0,00","4,92"
"T.ROWE PRICE ASSOCIATES, INC.",T. ROWE PRICE INTERNATIONAL DISCOVERY FUND,"3,39","0,00","3,39"
