,Miles de euros,,,,,,
,Cuenta de pérdidas y ganancias,,,,Ingresos y gastos imputados directamente al patrimonio neto,,
Saldo ingresos y gastos,,,46.079,,,,18.364
,Aumentos,Disminuciones,Total,,Aumentos,Disminuciones,Total
Impuesto sobre Sociedades,,,1.893,,,,6.123
Diferencias permanentes,,,,,,,
- Individuales,266 (26.192) (25.926),,,,— — — — — —,,
- De consolidación,—,— —,,,,,
Diferencias temporarias:,,,,,,,
- Individuales,,,,,,,
- con origen en el ejercicio,1.734,—,1.734,,— (24.919) (24.919) — 432 432,,
- con origen en ejercicios ant.,212 (1.459) (1.247),,,,,,
- De Consolidación,,,,,,,
- con origen en el ejercicio,— (2.080) (2.080) 7.398 — 7.398,,,,— — — — — —,,
- con origen en ejercicios ant.,,,,,,,
Base imponible previa,,,27.851,,,,—
