,2024 2023,
Impuesto corriente,(42.593) (50.603) 1.069 64 905 659,
Impuesto diferido (Nota 19),,
Ajuste gasto IS ejercicios anteriores,,
Retenciones soportadas en el extranjero,(195),(229)
,(40.814) (50.109),
