Efectivo y equivalentes de efectivo,Rating,2025 2024,
,A+,69.974 2.016 570 10.372 26.435 13.758 447 — — 487 550 553,
,A,,
,A-,,
,BBB+,,
,BBB,,
,Sin rating,,
,Total efectivo y equivalentes al efectivo (Nota 14),97.976 27.186,
,,,
Cuentas financieras a cobrar,Rating,2025,2024
,A,— 65,
,Total cuentas financieras a cobrar (Nota 13),— 65,
,,,
Clientes,Rating,2025 2024,
,AA,303 1.121 1.120 2.582 17.336 16.576 144.799 94.934,
,A1,,
,Centros e instituciones públicas (Nota 13),,
,"Otros (mayoristas, farmacias, sanatorios)",,
,Total clientes (Nota 13),163.558 115.176,
,,2025 2024,
Otros Depósitos,Rating,,
,A+,1.327,1.327
,Sin rating,621 603,
,Total otros depósitos (Nota 13),1.948 1.930,
