,,,Fair value,,
,Carrying amounts,,,,
,2018,,2018,,2017
,2018,2017,,2018,
Bank borrowings,"7,113",,"7,061",,"17,521"
,"7,113","17,716",,"7,061",
Debt with government entities,"9,476",,"10,002",,"10,071"
,"9,476","9,313",,"10,002",
,"16,589",,"17,063",,"27,592"
,"16,589","27,029",,"17,063",
