,2024 2023,
Consumo de mercaderías,22.355 25.596,
Consumo de materias primas y otras materias consumibles,322.287,328.030
Trabajos realizados por otras empresas,3.117 2.745,
"Deterioro de mercaderías, materias primas y otros aprovisionamientos",(3.857),3.270
,343.902 359.641,
