,"Technical IT facilities, Furniture, equipment, Land & machinery & fittings & vehicles & Rights of PPE in buildings tools other other use progress",,,,,,Total
Balance at 01.01.25,,,,,,,
Cost Accumulated depreciation,"74,797 377,508 5,101 21,576 41,847 11,009",,,,,,"531,838"
,"(20,481) (176,529) (3,243) (18,703) (26,260) — (245,216)",,,,,,
Net carrying amt 01.01.25,"54,316 200,979 1,858 2,873 15,587 11,009 286,622",,,,,,
Additions Retirements,"1,112 14,874 32 470 670 3,672 20,830",,,,,,
,"— (5,877)",,— —,(58) 58,— —,,"(5,935)"
Removals from depreciation,—,"5,792",,,—,"— 5,850",
,— — — 20 — — 20,,,,,,
,"— — — (16) — (604) (8,769) (116) (627) (3,008)",,,,,— —,"(16) (13,124)"
Balance at 30.06.25,,,,,,,
Cost Accumulated depreciation,"75,909 386,505 5,133 22,008 42,517 14,681 546,753 (21,085) (179,506) (3,359) (19,288) (29,268) — (252,506)",,,,,,
Net carrying amt 30.06.25,"54,824 206,999 1,774 2,720 13,249 14,681 294,247",,,,,,
