,,,,2020,,,,,,2019,,,,
,,,,ECONOMIC,,,COMP.,,,ECONOMIC,,,COMP.,
,,,,GROUP,,,SECTOR,,,GROUP,,,SECTOR,
,Total SL rate,,,3.34%,,,4.39%,,,2.52%,,,3.43%,
,SL rate: AW & OD,,,0.14%,,,0.16%,,,0.26%,,,0.20%,
,SL rate: CC,,,2.42%,,,3.39%,,,2.26%,,,3.23%,
,SL rate: COVID-19,,,0.77%,,,0.83%,,,0.00%,,,0.00%,
