,Thousand euros,
,2021,2020
Specialty pharmaceuticals,"342,732","292,497"
Sales of bemiparin to other group companies (Note 31 a),"106,809","135,342"
Contrast agents and other hospital products,"35,494","30,736"
Other,"5,194",849
,"490,229","459,424"
