,Saldos contables,Valor razonable,
,2024 2023 2024 2023,,
Préstamos de entidades de crédito,70.659 31.250 9.844 7.325,70.094 9.406,26.877 6.891
Deudas con organismos oficiales,,,
,80.503 38.575 79.500 33.768,,
