,Note,"31 December,",
,,2017,2016
ASSETS Non-current assets,,,
"Property, plant and equipment",6,"89,056","82,822"
Intangible assets Investment in a joint venture Deferred income tax assets Available-for-sale financial assets Financial receivables Current assets Inventories Trade and other receivables Current income tax assets Cash and cash equivalents,7 10 19 9 y 11 9 y 13 12 9 y 13 27 9 y 14,"27,078 2,054 11,893 69 65","24,872 2,571 10,252 70 189"
,,"130,215","120,776"
,,"75,492 49,747 2,228 40,700","67,386 53,842 4,466 41,378"
,,"168,167","167,072"
,,,
Total assets,,"298,382","287,848"
