,Miles de euros
,2022
Ingresos financieros:,
De participaciones en instrumentos de patrimonio,
- En empresas del grupo y asociadas (Nota 31.f),—
De valores negociables y otros instrumentos financieros,
- De empresas del grupo y asociadas (Nota 31.f),610 1.765
- De terceros,
,2.375
Gastos financieros:,(893)
Por deudas con terceros,
,(893)
Variación en el valor razonable de instrumentos financieros:,
Derivados,(11)
,(11)
Diferencias de cambio:,
Diferencias de cambio,(570)
,(570)
Deterioro y resultado por enajenaciones de instrumentos financieros:,
Resultados por enajenaciones y otras,1.828
,1.828
,
Resultado financiero,2.729
